KINASE	P_VALUE	CHI2_P_VALUE	UPID	FOUND	SUB#	ADJ_P_VALUE	HITS
CDK4	0.7833780613885171	0.8330465000645431	P11802	2	80	0.9354997805146286	P06400-S249, P21333-S2152
AurB	0.785819815632288	0.6595557019190499	Q96GD4	6	216	0.9354997805146286	P14618-T50(i), P17661-S57(i), P17661-S60, P17661-S68(i), Q53SF7-S876, Q9H6F5-S255
TBK1	0.7948237814512157	0.8019818026476633	Q9UHD2	2	82	0.9372921951075657	P31749-T308, P35222-S552
LRRK2	0.8109905150477821	0.7572817957517689	Q5S007	2	85	0.9474188259903996	O75061-S570, Q5S007-S910
CK2A1	0.8302898352247354	0.466440837718999	P68400	17	581	0.9532678806986051	O00264-S181, O14737-S119, P02751-1-S2384, P08473-S6, P08833-S194, P0DP23-S82, P25490-S118, P30622-S1364, P35579-S1943, P51636-S18(i), P51636-S20(i), P51636-S23, P51636-S36, Q01082-T2159, Q13153-S223, Q8NE71-S140, Q9UKX2-S1921
PKG1	0.8373034851143318	0.8303468503067555	Q13976	1	50	0.9532678806986051	P16949-S63
Chk1	0.8414139303289025	0.5413736163975196	O14757	5	199	0.9532678806986051	P27816-T521, P43243-S188(i), P43243-T150, Q8WWI1-S1510, Q8WWI1-S1516(i)
PKCB iso2	0.8487222268678382	0.7921662962582069	P05771-2	1	52	0.9532678806986051	P21730-S327(i)
CDK7	0.8541280211059502	0.7737663270700267	P50613	1	53	0.9532678806986051	Q9NYV4-T893
HIPK2	0.8869377370254147	0.6568736265212046	Q9H2X6	1	60	0.9811258152936003	P29590-S8
PKCE	0.9185357587194636	0.5332418471481766	Q02156	1	69	0.999999988944486	P08581-S990(i)
DNAPK	0.9643500611280711	0.24472761908535035	P78527	2	142	0.999999988944486	P08670-S430, P31749-T308
CK1D	0.967260680487507	0.30236826957304097	P48730	1	94	0.999999988944486	O43312-S316(i)
CK1A	0.9703557434432284	0.21685860068603421	P48729	2	148	0.999999988944486	P02730-S303, P78362-S494(i)
CDK5	0.9802072888372838	0.16680870984683865	Q00535	2	161	0.999999988944486	O94811-T14, Q96C19-S74
PLK1	0.98927857414657	0.07612281793591978	P53350	5	317	0.999999988944486	P08670-S339, P30622-S1364, P30622-S306(i), Q8TD19-T210, Q9BVS4-S390(i)
Fyn	0.9956186693862222	0.09082690489897194	P06241	1	149	0.999999988944486	P40763-Y705
CAMK2A	0.9956186693862222	0.09082690489897194	Q9UQM7	1	149	0.999999988944486	P35222-S552
CDK1	0.998711605121783	0.011057073875787627	P06493	12	690	0.999999988944486	O14980-S391, O75170-S771, P06400-S249, P21333-S1630, P27816-S787, P31749-T308, Q04637-S1231, Q13541-T70, Q8TD19-T210, Q8WX93-S641, Q92974-S956(i), Q96C19-S74
Abl	0.9997505623286697	0.017477368109419092	P00519	1	227	0.999999988944486	P08559-Y301
ATM	0.9998876787529779	0.006936290321314549	Q13315	2	318	0.999999988944486	P43243-S206(i), Q5VTR2-S525(i)
Src	0.999999988944486	3.2980532337920414e-05	P12931	2	580	0.999999988944486	P40763-Y705, Q13153-S144
